StartTime	Dur	Proto	SrcAddr	Sport	Dir	DstAddr	Dport	State	sTos	dTos	TotPkts	TotBytes	Label
1970/01/01 01:00:37.534645	  0.000000	       udp	  fe80::6dd3:1409:3456:8562	546	   ->	                  ff02::1:2	547	  REQ	    0		       1	       146	                                   flow=Background
1970/01/01 01:01:09.540225	  0.000000	       udp	  fe80::6dd3:1409:3456:8562	546	   ->	                  ff02::1:2	547	  REQ	    0		       1	       146	                                   flow=Background
1970/01/01 01:04:55.083813	  0.000146	       arp	                  10.0.2.16		  who	                   10.0.2.2		  CON			       2	        84	                               flow=Background-ARP
1970/01/01 01:04:55.084121	  0.178219	       udp	                  10.0.2.16	15311	  <->	             66.235.184.138	15081	  CON	    0	    0	       3	       551	              flow=From-Botnet-V1-UDP-Establishedd
1970/01/01 01:04:58.259530	  0.506579	       udp	                  10.0.2.16	15311	  <->	               66.148.64.18	24305	  CON	    0	    0	       6	       959	              flow=From-Botnet-V1-UDP-Establishedd
1970/01/01 01:04:58.766764	  0.000000	       udp	                  10.0.2.16	15311	   ->	               66.148.80.28	24833	  INT	    0		       1	       155	                   flow=From-Botnet-V1-UDP-Attempt
1970/01/01 01:04:58.767694	  0.000000	       tcp	                  10.0.2.16	49162	   ->	               66.148.64.18	13606	   S_	    0		       1	        66	                   flow=From-Botnet-V1-TCP-Attempt
1970/01/01 01:05:07.052091	  0.170951	       udp	                  10.0.2.16	15311	  <->	               66.36.230.86	19347	  CON	    0	    0	       3	       534	              flow=From-Botnet-V1-UDP-Establishedd
1970/01/01 01:05:10.227493	  0.316517	       udp	                  10.0.2.16	15311	  <->	              194.94.127.98	25549	  CON	    0	    0	       8	      1592	              flow=From-Botnet-V1-UDP-Establishedd
1970/01/01 01:05:10.544410	  0.280048	       udp	                  10.0.2.16	15311	  <->	            195.169.125.228	29902	  CON	    0	    0	       6	      1239	              flow=From-Botnet-V1-UDP-Establishedd
1970/01/01 01:05:10.825053	  0.000000	       udp	                  10.0.2.16	15311	   ->	            111.240.194.123	10188	  INT	    0		       1	       274	                   flow=From-Botnet-V1-UDP-Attempt
1970/01/01 01:05:16.205714	  0.000000	       udp	                  10.0.2.16	15311	   ->	             115.69.241.182	21008	  INT	    0		       1	       274	                   flow=From-Botnet-V1-UDP-Attempt
1970/01/01 01:05:25.108357	  0.000000	       udp	                  10.0.2.16	15311	   ->	            111.242.171.190	16584	  INT	    0		       1	       239	                   flow=From-Botnet-V1-UDP-Attempt
1970/01/01 01:05:28.763172	  0.000000	       udp	                  10.0.2.16	15311	   ->	               66.148.64.18	24305	  REQ	    0	    0	       1	       248	                   flow=From-Botnet-V1-UDP-Attempt
1970/01/01 01:05:30.475850	  0.000000	       udp	                  10.0.2.16	15311	   ->	              178.91.32.168	16355	  INT	    0		       1	       255	                   flow=From-Botnet-V1-UDP-Attempt
1970/01/01 01:05:33.770852	  0.000000	       udp	                  10.0.2.16	15311	   ->	               66.148.64.18	24305	  REQ	    0	    0	       1	       170	                   flow=From-Botnet-V1-UDP-Attempt
1970/01/01 01:05:36.173851	  0.000000	       udp	                  10.0.2.16	15311	   ->	               88.87.244.16	19811	  INT	    0		       1	       210	                   flow=From-Botnet-V1-UDP-Attempt
1970/01/01 01:05:38.466906	  0.000182	       arp	                  10.0.2.16		  who	                   10.0.2.2		  CON			       2	        84	                               flow=Background-ARP
1970/01/01 01:05:38.777645	  0.000000	       udp	                  10.0.2.16	15311	   ->	               66.148.64.18	24305	  REQ	    0	    0	       1	       200	                   flow=From-Botnet-V1-UDP-Attempt
1970/01/01 01:05:44.666104	  0.000000	       udp	                  10.0.2.16	15311	   ->	             123.240.194.78	21477	  INT	    0		       1	       193	                   flow=From-Botnet-V1-UDP-Attempt
1970/01/01 01:05:50.444670	  0.000000	       udp	                  10.0.2.16	15311	   ->	               84.2.155.234	15326	  INT	    0		       1	       124	                   flow=From-Botnet-V1-UDP-Attempt
1970/01/01 01:05:56.814003	  0.000000	       udp	                  10.0.2.16	15311	   ->	            113.252.247.200	11105	  INT	    0		       1	       138	                   flow=From-Botnet-V1-UDP-Attempt
1970/01/01 01:06:03.013013	  0.000000	       udp	                  10.0.2.16	15311	   ->	               89.41.100.12	18279	  INT	    0		       1	       302	                   flow=From-Botnet-V1-UDP-Attempt
1970/01/01 01:06:10.152574	  0.000000	       udp	                  10.0.2.16	15311	   ->	              187.19.218.40	26151	  INT	    0		       1	       221	                   flow=From-Botnet-V1-UDP-Attempt
1970/01/01 01:06:16.231988	  0.204318	       udp	                  10.0.2.16	15311	   ->	              95.57.211.247	20586	  INT	    0		       1	       164	                   flow=From-Botnet-V1-UDP-Attempt
1970/01/01 01:06:16.436306	  0.000000	      icmp	              95.57.211.247	0x0303	   ->	                  10.0.2.16	0x6a50	  URP	  192		       1	       164	                                   flow=Background
1970/01/01 01:06:20.968348	  0.000164	       arp	                  10.0.2.16		  who	                   10.0.2.2		  CON			       2	        84	                               flow=Background-ARP
1970/01/01 01:06:24.273206	  0.000000	       udp	                  10.0.2.16	15311	   ->	                62.5.128.33	24761	  INT	    0		       1	       309	                   flow=From-Botnet-V1-UDP-Attempt
1970/01/01 01:06:33.085653	  0.167706	       udp	                  10.0.2.16	15311	  <->	               66.148.64.18	24305	  CON	    0	    0	       2	       335	              flow=From-Botnet-V1-UDP-Establishedd
1970/01/01 01:06:33.254034	  0.000000	       udp	                  10.0.2.16	15311	   ->	             66.235.184.138	15081	  INT	    0		       1	       272	                   flow=From-Botnet-V1-UDP-Attempt
1970/01/01 01:06:33.254611	  0.000000	       tcp	                  10.0.2.16	49163	   ->	               66.148.64.18	13606	   S_	    0		       1	        66	                   flow=From-Botnet-V1-TCP-Attempt
1970/01/01 01:06:52.213329	  0.000000	       udp	                  10.0.2.16	15311	   ->	             66.235.184.138	15081	  REQ	    0		       1	       294	                   flow=From-Botnet-V1-UDP-Attempt
1970/01/01 01:07:03.249304	  0.000000	       udp	                  10.0.2.16	15311	   ->	               66.148.64.18	24305	  REQ	    0	    0	       1	       233	                   flow=From-Botnet-V1-UDP-Attempt
1970/01/01 01:07:07.965489	  0.000168	       arp	                  10.0.2.16		  who	                   10.0.2.2		  CON			       2	        84	                               flow=Background-ARP
1970/01/01 01:07:08.256792	  0.000000	       udp	                  10.0.2.16	15311	   ->	               66.148.64.18	24305	  REQ	    0	    0	       1	       129	                   flow=From-Botnet-V1-UDP-Attempt
1970/01/01 01:07:09.473148	  0.095088	       udp	  fe80::6dd3:1409:3456:8562	59045	   ->	                  ff02::1:3	5355	  INT	    0		       2	       168	                                   flow=Background
1970/01/01 01:07:09.473458	  0.095151	       udp	                  10.0.2.16	51914	   ->	                224.0.0.252	5355	  INT	    0		       2	       128	                   flow=From-Botnet-V1-UDP-Attempt
1970/01/01 01:07:09.473619	  0.094990	      icmp	                   10.0.2.2	0x000b	   ->	                  10.0.2.16	0x0000	  TXD	  192		       2	       184	                                   flow=Background
1970/01/01 01:07:09.768730	  1.501463	       udp	                  10.0.2.16	137	   ->	                 10.0.2.255	137	  INT	    0		       3	       276	                   flow=From-Botnet-V1-UDP-Attempt
1970/01/01 01:07:12.051039	  0.073846	       udp	                  10.0.2.16	64271	  <->	                    8.8.8.8	53	  CON	    0	    0	       2	       244	                           flow=From-Botnet-V1-DNS
1970/01/01 01:07:12.125559	  0.214487	       tcp	                  10.0.2.16	49164	   ->	             173.194.70.106	80	FSPA*	    0	    0	      10	      1818	               flow=From-Botnet-V1-TCP-Established
1970/01/01 01:07:12.341728	  0.076883	       udp	                  10.0.2.16	57037	  <->	                    8.8.8.8	53	  CON	    0	    0	       2	       162	                           flow=From-Botnet-V1-DNS
1970/01/01 01:07:12.419242	  0.284755	       tcp	                  10.0.2.16	49165	   ->	              173.194.70.94	80	SRPA*	    0	    0	      27	     20494	               flow=From-Botnet-V1-TCP-Established
1970/01/01 01:07:12.762606	  0.117465	       udp	                  10.0.2.16	15311	  <->	              194.94.127.98	25549	  CON	    0	    0	       4	       576	              flow=From-Botnet-V1-UDP-Establishedd
1970/01/01 01:07:12.879716	  0.090947	       udp	                  10.0.2.16	15311	  <->	            195.169.125.228	29902	  CON	    0	    0	       2	       369	              flow=From-Botnet-V1-UDP-Establishedd
1970/01/01 01:07:12.971255	  0.000000	       udp	                  10.0.2.16	15311	   ->	               66.36.230.86	19347	  INT	    0		       1	       275	                   flow=From-Botnet-V1-UDP-Attempt
1970/01/01 01:07:13.263714	  0.000000	       udp	                  10.0.2.16	15311	   ->	               66.148.64.18	24305	  REQ	    0	    0	       1	       117	                   flow=From-Botnet-V1-UDP-Attempt
1970/01/01 01:07:13.547849	  3.000645	       udp	  fe80::6dd3:1409:3456:8562	546	   ->	                  ff02::1:2	547	  INT	    0		       3	       438	                                   flow=Background
1970/01/01 01:07:20.553652	  0.000000	       udp	  fe80::6dd3:1409:3456:8562	546	   ->	                  ff02::1:2	547	  REQ	    0		       1	       146	                                   flow=Background
1970/01/01 01:07:28.555426	  0.000000	       udp	  fe80::6dd3:1409:3456:8562	546	   ->	                  ff02::1:2	547	  REQ	    0		       1	       146	                                   flow=Background
1970/01/01 01:07:30.097577	  0.000000	       udp	                  10.0.2.16	15311	   ->	               66.36.230.86	19347	  REQ	    0		       1	       243	                   flow=From-Botnet-V1-UDP-Attempt
1970/01/01 01:07:44.558415	  0.000000	       udp	  fe80::6dd3:1409:3456:8562	546	   ->	                  ff02::1:2	547	  REQ	    0		       1	       146	                                   flow=Background
1970/01/01 01:07:47.845313	  0.166163	       tcp	                  10.0.2.16	49166	   ->	             173.194.70.106	80	FSPA*	    0	    0	      10	      1818	               flow=From-Botnet-V1-TCP-Established
1970/01/01 01:07:48.011872	  0.203377	       tcp	                  10.0.2.16	49167	   ->	              173.194.70.94	80	SRPA*	    0	    0	       7	      1994	               flow=From-Botnet-V1-TCP-Established
1970/01/01 01:08:16.564877	  0.000000	       udp	  fe80::6dd3:1409:3456:8562	546	   ->	                  ff02::1:2	547	  REQ	    0		       1	       146	                                   flow=Background
1970/01/01 01:14:20.572159	  3.000255	       udp	  fe80::6dd3:1409:3456:8562	546	   ->	                  ff02::1:2	547	  REQ	    0		       3	       438	                                   flow=Background
1970/01/01 01:14:27.578095	  0.000000	       udp	  fe80::6dd3:1409:3456:8562	546	   ->	                  ff02::1:2	547	  REQ	    0		       1	       146	                                   flow=Background
1970/01/01 01:14:35.579737	  0.000000	       udp	  fe80::6dd3:1409:3456:8562	546	   ->	                  ff02::1:2	547	  REQ	    0		       1	       146	                                   flow=Background
1970/01/01 01:14:51.582111	  0.000000	       udp	  fe80::6dd3:1409:3456:8562	546	   ->	                  ff02::1:2	547	  REQ	    0		       1	       146	                                   flow=Background
1970/01/01 01:15:23.588568	  0.000000	       udp	  fe80::6dd3:1409:3456:8562	546	   ->	                  ff02::1:2	547	  REQ	    0		       1	       146	                                   flow=Background
1970/01/01 01:21:27.595902	  3.000191	       udp	  fe80::6dd3:1409:3456:8562	546	   ->	                  ff02::1:2	547	  REQ	    0		       3	       438	                                   flow=Background
1970/01/01 01:21:34.601774	  0.000000	       udp	  fe80::6dd3:1409:3456:8562	546	   ->	                  ff02::1:2	547	  REQ	    0		       1	       146	                                   flow=Background
1970/01/01 01:21:42.603684	  0.000000	       udp	  fe80::6dd3:1409:3456:8562	546	   ->	                  ff02::1:2	547	  REQ	    0		       1	       146	                                   flow=Background
1970/01/01 01:21:58.606385	  0.000000	       udp	  fe80::6dd3:1409:3456:8562	546	   ->	                  ff02::1:2	547	  REQ	    0		       1	       146	                                   flow=Background
1970/01/01 01:22:30.612760	  0.000000	       udp	  fe80::6dd3:1409:3456:8562	546	   ->	                  ff02::1:2	547	  REQ	    0		       1	       146	                                   flow=Background
1970/01/01 01:28:34.619443	  3.000280	       udp	  fe80::6dd3:1409:3456:8562	546	   ->	                  ff02::1:2	547	  REQ	    0		       3	       438	                                   flow=Background
1970/01/01 01:28:41.626220	  0.000000	       udp	  fe80::6dd3:1409:3456:8562	546	   ->	                  ff02::1:2	547	  REQ	    0		       1	       146	                                   flow=Background
1970/01/01 01:28:49.627043	  0.000000	       udp	  fe80::6dd3:1409:3456:8562	546	   ->	                  ff02::1:2	547	  REQ	    0		       1	       146	                                   flow=Background
1970/01/01 01:29:05.630316	  0.000000	       udp	  fe80::6dd3:1409:3456:8562	546	   ->	                  ff02::1:2	547	  REQ	    0		       1	       146	                                   flow=Background
1970/01/01 01:29:37.636397	  0.000000	       udp	  fe80::6dd3:1409:3456:8562	546	   ->	                  ff02::1:2	547	  REQ	    0		       1	       146	                                   flow=Background
1970/01/01 01:35:41.643895	  2.999882	       udp	  fe80::6dd3:1409:3456:8562	546	   ->	                  ff02::1:2	547	  REQ	    0		       3	       438	                                   flow=Background
1970/01/01 01:35:48.649650	  0.000000	       udp	  fe80::6dd3:1409:3456:8562	546	   ->	                  ff02::1:2	547	  REQ	    0		       1	       146	                                   flow=Background
1970/01/01 01:35:56.651296	  0.000000	       udp	  fe80::6dd3:1409:3456:8562	546	   ->	                  ff02::1:2	547	  REQ	    0		       1	       146	                                   flow=Background
1970/01/01 01:36:12.654305	  0.000000	       udp	  fe80::6dd3:1409:3456:8562	546	   ->	                  ff02::1:2	547	  REQ	    0		       1	       146	                                   flow=Background
1970/01/01 01:36:44.660055	  0.000000	       udp	  fe80::6dd3:1409:3456:8562	546	   ->	                  ff02::1:2	547	  REQ	    0		       1	       146	                                   flow=Background
1970/01/01 01:37:49.433590	  0.000171	       arp	                  10.0.2.16		  who	                   10.0.2.2		  CON			       2	        84	                               flow=Background-ARP
1970/01/01 01:37:49.433930	  0.000000	       udp	                  10.0.2.16	15311	   ->	             66.235.184.138	15081	  INT	    0		       1	       276	                   flow=From-Botnet-V1-UDP-Attempt
1970/01/01 01:38:05.326831	  0.000000	       udp	                  10.0.2.16	15311	   ->	             66.235.184.138	15081	  REQ	    0		       1	       186	                   flow=From-Botnet-V1-UDP-Attempt
1970/01/01 01:38:23.056501	  0.168052	       tcp	                  10.0.2.16	49168	   ->	             173.194.70.106	80	FSPA*	    0	    0	      10	      1818	               flow=From-Botnet-V1-TCP-Established
1970/01/01 01:38:23.224825	  0.201719	       tcp	                  10.0.2.16	49169	   ->	              173.194.70.94	80	SRPA*	    0	    0	       7	      1994	               flow=From-Botnet-V1-TCP-Established
1970/01/01 01:38:23.427598	  0.000000	       udp	                  10.0.2.16	15311	   ->	               66.36.230.86	19347	  INT	    0		       1	       257	                   flow=From-Botnet-V1-UDP-Attempt
1970/01/01 01:38:40.897929	  0.000000	       udp	                  10.0.2.16	15311	   ->	               66.36.230.86	19347	  REQ	    0		       1	       219	                   flow=From-Botnet-V1-UDP-Attempt
1970/01/01 01:38:55.901641	  0.167542	       tcp	                  10.0.2.16	49170	   ->	             173.194.70.106	80	FSPA*	    0	    0	      10	      1818	               flow=From-Botnet-V1-TCP-Established
